x,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,sexo
0,1,0.014946068,0.0948489904,0.0147465697894654,0.985253430210535,1e+05,1474.65697894654,98665.2127466929,7670783.6951904,76.707836951904,mujer
1,4,0.000706512,1.499311868776,0.002821063839836,0.997178936160164,98525.3430210535,277.946282504141,393406.315114438,7572118.48244371,76.8545254475862,mujer
5,5,0.000273219,2.5,0.00136516252914737,0.998634837470853,98247.3967385493,134.12366461374,490901.674531212,7178712.16732927,73.0677087193758,mujer
10,5,0.000310094,2.5,0.00154926895248362,0.998450731047516,98113.2730739356,152.003847800006,490186.355750178,6687810.49279806,68.164176805704,mujer
15,5,0.000838565,2.5,0.00418405349794624,0.995815946502054,97961.2692261356,409.87519116886,488781.658152756,6197624.13704788,63.2660661300863,mujer
20,5,0.001138273,2.5,0.00567521513959352,0.994324784860406,97551.3940349667,553.62514831571,486372.907304044,5708842.47889512,58.5213828604933,mujer
25,5,0.001057788,2.5,0.00527499044601523,0.994725009553985,96997.768886651,511.662304161873,483709.68867285,5222469.57159108,53.8411308995562,mujer
30,5,0.001224976,2.5,0.00610618018954034,0.99389381981046,96486.1065824891,589.16155257987,480957.629030996,4738759.88291823,49.1133910442008,mujer
35,5,0.001535674,2.5,0.00764900405835423,0.992350995941646,95896.9450299093,733.516121717548,477650.934845253,4257802.25388723,44.3997694875397,mujer
40,5,0.002393471,2.5,0.0118961721424153,0.988103827857585,95163.4289081917,1132.08053195436,472986.943211073,3780151.31904198,39.7227313308441,mujer
45,5,0.002922426,2.5,0.0145061471460514,0.985493852853949,94031.3483762374,1364.03257588731,466746.660441469,3307164.37583091,35.1708704909592,mujer
50,5,0.00471984,2.5,0.0233239862913565,0.976676013708644,92667.31580035,2161.37120338416,457933.15099329,2840417.71538944,30.651775017516,mujer
55,5,0.007437079,2.5,0.0365066381206802,0.96349336187932,90505.9445969659,3304.06776717177,444269.5535669,2382484.56439615,26.3240671649321,mujer
60,5,0.011454751,2.5,0.0556792744386126,0.944320725561387,87201.8768297941,4855.33723156819,423871.04107005,1938215.01082925,22.226757970042,mujer
65,5,0.017223235,2.5,0.0825612456602519,0.917438754339748,82346.5395982259,6798.6328850408,394736.115778528,1514343.9697592,18.3898919996855,mujer
70,5,0.027384492,2.5,0.128149207622629,0.871850792377371,75547.9067131851,9681.404382843,353536.022608818,1119607.85398067,14.8198395255506,mujer
75,5,0.04509859,2.5,0.202645395933517,0.797354604066483,65866.5023303421,13347.5434434881,295963.65304299,766071.831371853,11.6306742314895,mujer
80,5,0.072159353,2.5,0.305656776855165,0.694343223144835,52518.9588868541,16052.7756971447,222462.855191408,470108.178328863,8.95120901656973,mujer
85,,0.147251653,,1,0,36466.1831897093,36466.1831897093,247645.323137455,247645.323137455,6.79109524155902,mujer
