x,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,sexo
0,1,0.016930893,0.090442516812,0.0166741179132114,0.983325882086789,1e+05,1667.41179132114,98483.393127648,6249461.68988879,62.4946168988879,hombre
1,4,0.000825735,1.603322605312,0.00329641632481826,0.996703583675182,98332.5882086789,324.145149032716,392553.481483431,6150978.29676114,62.5527956582176,hombre
5,5,0.00038685,2.5,0.00193238114588429,0.998067618854116,98008.4430596462,189.389667505937,489568.741129466,5758424.81527771,58.7543749855636,hombre
10,5,0.000706101,2.5,0.00352428374930084,0.996475716250699,97819.0533921402,344.7421002419,488233.411710096,5268856.07414824,53.8632903451466,hombre
15,5,0.004594054,2.5,0.0227094489134534,0.977290551086547,97474.3112918983,2213.58789265742,481837.586727848,4780622.66243815,49.0449493725789,hombre
20,5,0.008656794,2.5,0.0423670626653035,0.957632937334697,95260.7233992409,4035.91703779777,466213.82440171,4298785.0757103,45.1265214278706,hombre
25,5,0.010769674,2.5,0.0524365584008522,0.947563441599148,91224.8063614431,4783.51488637824,444165.24459127,3832571.25130859,42.0123802304771,hombre
30,5,0.011507236,2.5,0.055927259563426,0.944072740436574,86441.2914750649,4834.42454532372,420120.396012015,3388406.00671732,39.1989285316815,hombre
35,5,0.009547718,2.5,0.0466256681718344,0.953374331828166,81606.8669297412,3804.97469800914,398521.897903683,2968285.61070531,36.372988234689,hombre
40,5,0.009236068,2.5,0.0451380937420208,0.954861906257979,77801.892231732,3511.82910486254,380229.888396504,2569763.71280162,33.029578575642,hombre
45,5,0.008892781,2.5,0.0434968843335975,0.956503115666403,74290.0631268695,3231.38628296508,363371.849926935,2189533.82440512,29.4727683925362,hombre
50,5,0.010685093,2.5,0.0520354557889931,0.947964544211007,71058.6768439044,3697.57063733535,346049.457626184,1826161.97447818,25.6993523604407,hombre
55,5,0.015013179,2.5,0.0723503722757681,0.927649627724232,67361.1062065691,4873.60111095283,324621.528255463,1480112.516852,21.9728059737187,hombre
60,5,0.019285416,2.5,0.091991828306282,0.908008171693718,62487.5050956162,5748.33984004384,298066.675877972,1155490.98859654,18.491552620455,hombre
65,5,0.032266563,2.5,0.149290117542587,0.850709882457413,56739.1652555724,8470.59665027267,262519.33465218,857424.312718566,15.1116835938004,hombre
70,5,0.042344112,2.5,0.191453263878869,0.808546736121131,48268.5686052997,9241.17500224573,218239.905520884,594904.978066385,12.3248937197832,hombre
75,5,0.066454773,2.5,0.284935547223996,0.715064452776004,39027.393603054,11120.2917530125,167336.238632739,376665.072545501,9.65129970954622,hombre
80,5,0.098235395,2.5,0.394333264901824,0.605666735098176,27907.1018500415,11004.6985864746,112023.762784021,209328.833912762,7.50091625556779,hombre
85,,0.173705266,,1,0,16902.4032635669,16902.4032635669,97305.0711287411,97305.0711287411,5.75687785999533,hombre
