x,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,sexo
0,1,0.013829397,0.0917223116,0.0136578417681882,0.986342158231812,1e+05,1365.78417681882,98759.4887050257,7454618.74985377,74.5461874985377,mujer
1,4,0.000579064,1.501006975354,0.00231290904275977,0.99768709095724,98634.2158231812,228.131969702939,393966.763091738,7355859.26114874,74.5771556022242,mujer
5,5,0.000239047,2.5,0.00119452113326664,0.998805478866733,98406.0838534782,117.548146804998,491736.548900379,6961892.498057,70.7465659178442,mujer
10,5,0.000304187,2.5,0.00151977925726767,0.998480220742732,98288.5357066732,149.376877794217,491069.236338881,6470155.94915663,65.8281853792775,mujer
15,5,0.000736486,2.5,0.00367566231540993,0.99632433768459,98139.158828879,360.726407773342,489793.978124962,5979086.71281774,60.924576735401,mujer
20,5,0.001192875,2.5,0.00594664100153822,0.994053358998462,97778.4324211057,581.453235301466,487438.529017275,5489292.73469278,56.1401180073317,mujer
25,5,0.001232587,2.5,0.00614400245611157,0.993855997543888,97196.9791858042,597.178478844216,484491.949731911,5001854.20567551,51.4610047305466,mujer
30,5,0.001610874,2.5,0.0080220636655371,0.991977936334463,96599.80070696,774.929751349438,481061.679156426,4517362.2559436,46.7636809070365,mujer
35,5,0.001992078,2.5,0.00991103113231003,0.99008896886769,95824.8709556106,949.723279290643,476750.046579826,4036300.57678717,42.1216385322024,mujer
40,5,0.002857074,2.5,0.0141840577435163,0.985815942256484,94875.1476763199,1345.71457306556,471011.451948936,3559550.53020734,37.5182607604603,mujer
45,5,0.003993806,2.5,0.0197716199638962,0.980228380036104,93529.4331032544,1849.2284067562,463024.094499381,3088539.07825841,33.0221083971367,mujer
50,5,0.005871326,2.5,0.0289319576125957,0.971068042387404,91680.2046964982,2652.48779619318,451769.803992008,2625514.98375903,28.6377522001684,mujer
55,5,0.010154243,2.5,0.0495142652955561,0.950485734704444,89027.716900305,4408.14199325937,434118.229518376,2173745.17976702,24.4164992145224,mujer
60,5,0.015233052,2.5,0.0733710957094042,0.926628904290596,84619.5749070456,6208.63092939394,407576.297211743,1739626.95024864,20.5582095178287,mujer
65,5,0.022509187,2.5,0.106550047632455,0.893449952367545,78410.9439776517,8354.68981572456,371167.995348947,1332050.6530369,16.9880706118849,mujer
70,5,0.033676175,2.5,0.155305626369722,0.844694373630278,70056.2541619271,10880.1304337345,323080.944725299,960882.657687953,13.7158726109875,mujer
75,5,0.052685475,2.5,0.232768568507748,0.767231431492252,59176.1237281926,13774.3416100488,261444.764615841,637801.712962654,10.7780245271252,mujer
80,5,0.084128244,2.5,0.347545283889696,0.652454716110304,45401.7821181438,15779.1752553484,187560.972452348,376356.948346813,8.28947523177533,mujer
85,,0.156902745,,1,0,29622.6068627954,29622.6068627954,188795.975894465,188795.975894465,6.37337479341104,mujer
