x,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex,sexo
0,1,0.018348884,0.094248404656,0.0180489194248995,0.9819510805751,1e+05,1804.89194248995,98365.2162436662,6804624.20378572,68.0462420378572,hombre
1,4,0.000728102,1.599329542656,0.00290732618872538,0.997092673811275,98195.10805751,285.485209260311,392095.07632216,6706258.98754205,68.2952452541158,hombre
5,5,0.000270746,2.5,0.00135281432733033,0.99864718567267,97909.6228482497,132.45354057262,489216.980389817,6314163.91121989,64.4897174305964,hombre
10,5,0.000417737,2.5,0.00208650597313575,0.997913494026864,97777.1693076771,204.012647796786,488375.814918894,5824946.93083008,59.5736916099567,hombre
15,5,0.002199781,2.5,0.0109387478756484,0.989061252124351,97573.1566598803,1067.32816013358,485197.462899068,5336571.11591118,54.6930251986554,hombre
20,5,0.004533089,2.5,0.0224114621189863,0.977588537881014,96505.8284997468,2162.83671968346,477122.050699525,4851373.65301211,50.2702658319217,hombre
25,5,0.004898433,2.5,0.024195860496205,0.975804139503795,94342.9917800633,2282.70986790503,466008.184230554,4374251.60231259,46.3654111426744,hombre
30,5,0.005297711,2.5,0.0261423188743348,0.973857681125665,92060.2819121583,2406.6692454088,454284.736447269,3908243.41808204,42.4530898331507,hombre
35,5,0.005397029,2.5,0.0266258932055469,0.973374106794453,89653.6126667495,2387.10751635634,442300.294542857,3453958.68163477,38.5255939933334,hombre
40,5,0.006480168,2.5,0.0318843009334714,0.968115699066529,87266.5051503931,2782.43151162747,429376.446972897,3011658.38709191,34.5110461557007,hombre
45,5,0.007253896,2.5,0.0356234578539182,0.964376542146082,84484.0736387657,3009.61483659789,414896.331102334,2582281.94011901,30.5653104650263,hombre
50,5,0.010214566,2.5,0.0498010887307205,0.950198911269279,81474.4588021678,4057.51675209419,397228.502130603,2167385.60901668,26.6020252344286,hombre
55,5,0.013799061,2.5,0.0666945012714758,0.933305498728524,77416.9420500736,5163.2843399924,374176.499400387,1770157.10688608,22.8652418968077,hombre
60,5,0.018879109,2.5,0.0901410865061786,0.909858913493821,72253.6577100812,6513.02321003225,344985.730525325,1395980.60748569,19.3205527820762,hombre
65,5,0.026075897,2.5,0.122400244574267,0.877599755425733,65740.6345000489,8046.66974127345,308586.498147061,1050994.87696036,15.9869901614591,hombre
70,5,0.040379781,2.5,0.183386171400998,0.816613828599002,57693.9647587755,10580.2753100559,262019.135518738,742408.378813302,12.868042297273,hombre
75,5,0.058136561,2.5,0.253795771606187,0.746204228393813,47113.6894487195,11957.2551668521,205675.309326468,480389.243294565,10.1963834485397,hombre
80,5,0.095983613,2.5,0.387043484841908,0.612956515158093,35156.4342818675,13607.0688390695,141764.499311664,274713.933968097,7.81404427324944,hombre
85,,0.162086928,,1,0,21549.365442798,21549.365442798,132949.434656433,132949.434656433,6.16952898262098,hombre
